"ID";"nom";"unite";"IDTypeIngredient"
1;"lentilles (à cuire)";"g";1
2;"patates douces";"g";1
3;"carotte";"g";1
4;"oignon";"na";1
5;"gousses ail";"na";1
6;"chou-fleur";"na";1
7;"pois chiches";"g";1
8;"purée de tomate";"cas";1
9;"gousse d'ail";"na";1
10;"riz";"g";1
11;"tofu";"g";1
12;"tagliatelles";"g";1
13;"citrouille";"g";1
14;"parmesan";"g";1
15;"persil";"na";1
16;"pate brisée";"na";1
17;"poireau";"g";1
18;"œuf";"na";1
19;"lait";"cl";1
20;"crème liquide";"cl";1
21;"brie";"g";1
22;"vinaigre balsamique";"c";1
23;"pates_à_lasagnes";"na";1
24;"bœuf haché";"g";1
25;"pulpe de tomate";"g";1
26;"beurre";"g";1
27;"farine";"g";1
28;"poivron";"na";1
29;"blancs de poulet";"na";1
30;"gousses d'ail";"na";1
31;"sauce soya sans gluten";"cl";1
32;"petit pois";"c";1
33;"miel";"c";1
34;"macaroni";"g";1
35;"crème fraîche";"cas";1
36;"tranche de jambon";"na";1
37;"tomate";"na";1
38;"parmesan_râpé";"g";1
39;"haricots rouges";"g";1
40;"tomates concassées";"g";1
41;"bouillon  de poulet";"cl";1
42;"maïs";"g";1
43;"bouillon de poulet";"cl";1
44;"fromage râpé";"g";1
45;"œufs";"na";1
46;"tomates ou tomates cerises";"g";1
47;"oignon rouge";"na";1
48;"thon égoutté";"g";1
49;"cœur de palmier";"g";1
